U.S. Custom Ports,Coast,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"Oakland, CA",P,"2,953,837","3,057,718","3,544,563","3,753,213","4,417,287","5,598,261","5,974,033","5,772,038","5,150,476","4,657,452","5,249,792","5,250,156","5,618,007","5,867,610","6,427,575","6,332,878","6,548,307","6,779,909"
"Panama City, FL",G,27,0,0,174,0,"37,701","119,625","119,141","113,406","105,417","100,381","109,154","109,963","119,655","108,908","102,695","95,545","113,227"
"Pensacola, FL",G,0,351,0,12,0,178,43,0,"1,711",0,0,0,0,39,365,13,19,0
"Pensauken, NJ",A,57,27,3,164,119,200,220,0,0,0,"2,920",0,0,"130,554","111,252","146,425","138,012","123,921"
"Philadelphia, PA",A,"824,812","912,511","1,068,275","1,245,195","1,456,566","1,735,749","1,898,112","1,894,918","1,832,107","1,711,669","1,683,654","1,829,434","2,137,322","2,143,471","2,245,471","2,476,205","2,632,186","3,089,573"
"Ponce, PR",PR,"363,180","332,237","230,240","59,022","17,891","1,599",647,235,196,194,54,23,500,348,1,"2,000","2,942","2,103"
"Port Angeles, WA",P,0,928,0,0,14,0,17,0,0,0,41,0,19,"1,095","1,472",42,0,520
"Port Arthur, TX",G,50,0,6,28,"72,621",211,447,89,202,"3,462","436,263","73,436","220,128",936,"1,240",0,"1,924",819
"Port Canaveral, FL",A,"1,220",480,410,17,"6,986","8,479",811,"1,100",827,541,459,"2,004","5,549","1,363",397,725,"23,833","50,586"
"Port Everglades, FL",A,"1,275,848","1,235,358","1,169,853","1,373,869","1,773,548","2,258,038","2,504,934","2,653,498","2,430,382","1,916,587","2,170,737","2,303,356","2,432,516","2,999,952","3,333,669","3,407,678","3,541,178","3,744,001"
"Port Hueneme, CA",P,"86,225","76,970","74,146","95,584","100,881","137,032","140,396","131,816","141,574","144,363","164,460","157,924","436,877","456,658","446,892","450,820","462,008","595,577"
"Port Manatee, FL",G,0,0,0,"4,709","42,889","30,939","44,118","32,304","44,398","125,972","107,328","53,298","71,741","59,406","84,169","182,718","198,832","288,002"
"Portland, ME",A,"10,189","14,584","18,012","16,794","12,138","15,493","8,748","4,558",13,0,0,"4,269","3,012","33,508","62,667",0,"95,528","96,817"
"Portland, OR",P,"326,008","349,672","375,392","492,924","492,126","402,014","608,455","761,031","683,676","499,394","488,854","518,525","475,019","567,967","601,957","67,865","6,059","10,470"
"Portsmouth, NH",A,0,0,0,0,35,0,0,16,21,95,220,61,668,352,8,0,0,4
"Salem, NJ",,0,0,0,0,0,0,0,0,0,0,303,"1,276",0,966,"2,575","7,663","21,021","9,226"
"San Diego, CA",P,124,50,"13,369","416,064","436,068","437,075","468,223","462,093","455,442","450,394","454,641","447,274","467,578","441,300","486,151","525,682","644,172","610,836"
"San Francisco, CA",P,"267,498","162,494","98,599","91,935","210,316","2,624","2,221",111,189,93,14,"1,067","5,721","1,048",6,3,0,672
"San Juan, PR",PR,"964,525","1,005,861","1,064,516","1,366,667","1,449,127","1,567,606","1,527,372","1,416,239","1,471,286","1,410,270","1,388,956","1,410,585","1,437,467","1,456,707","1,399,602","1,482,249","1,539,021","1,700,406"
"Savannah, GA",A,"2,912,963","2,997,957","3,751,126","3,983,050","4,549,810","5,428,134","6,005,987","7,423,123","7,517,652","6,343,155","7,488,311","7,665,392","7,798,747","8,319,048","9,607,638","11,147,416","12,306,893","14,144,622"
"Seattle, WA",P,"3,580,780","2,993,143","3,109,348","2,909,308","4,119,296","5,389,235","4,951,978","4,868,419","4,219,978","3,901,961","5,751,229","5,299,624","5,226,902","4,015,661","3,430,388","3,668,254","3,760,849","4,577,413"
"Tacoma, WA",P,"2,368,919","2,111,151","3,006,144","3,705,181","3,854,382","5,060,218","4,609,325","4,403,149","3,948,881","2,647,747","3,046,013","3,175,412","4,144,140","4,835,077","5,533,896","5,394,115","5,862,056","4,847,908"
"Tampa, FL",G,"16,628","7,456","1,266","19,025","51,578","54,146","102,160","165,708","159,427","158,427","173,733","178,133","163,086","153,983","187,207","221,477","288,062","437,302"
"Vancouver, WA",P,"3,854","6,584",744,744,"32,310","2,022","1,400","1,918",28,810,"6,295","2,717","1,637","6,612","9,797","13,939","8,697","7,416"
"West Palm Beach, FL",A,"175,863","195,119","279,381","270,677","295,326","263,359","214,975","223,600","228,120","187,388","214,805","196,670","216,288","297,694","364,623","357,895","348,418","367,329"
"Wilmington, DE",A,"904,575","964,634","1,030,240","1,518,071","1,114,766","1,127,645","1,222,941","1,309,694","1,274,591","1,185,657","1,204,818","1,282,243","1,339,599","1,496,540","1,599,242","1,621,830","1,729,359","1,738,055"
"Wilmington, NC",A,"275,435","231,535","272,995","248,014","280,585","372,176","421,365","482,164","516,405","622,821","764,848","810,206","739,244","740,128","824,262","896,591","755,437","583,105"
